tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
,cg02835494,cg00589493,cg24925907,cg06235437,cg01096752
,cg21927975,cg08432452,cg11027717,cg09714607,cg12026095
,cg14958889,cg24803202,cg09495491,cg02460426,cg22310976
,cg01909982,cg18262830,cg06601473,cg03784567,cg26532042
,cg04861645,cg09349409,cg07599644,cg09672152,cg05617973
,cg06348737,cg02258444,cg02584488,cg17513693,cg04537014
,cg13071306,cg05560951,cg20368818,cg11229390,cg02664162
,cg00929493,cg07147271,cg02239453,cg08509237,cg22027879
,cg08912058,cg04686763,cg14578028,cg21987316,cg06745001
,cg08207378,cg08023374,cg12603338,cg09599399,cg22674064
,cg17742359,cg05578592,cg25886719,cg05465342,cg22740866
,cg12770414,cg00212979,cg17648103,cg04264374,cg07664760
,cg19802649,cg07279085,cg06904287,cg11192767,cg14449918
,cg07480647,cg01866521,cg27345286,cg05323467,cg03731896
,cg15892785,cg22060484,cg24104128,cg08732409,cg22645062
,cg05473804,cg00521551,cg09057265,cg17229678,cg14640682
,cg08877960,cg19239462,cg23155006,cg11941520,cg24457886
,cg05790960,cg21739289,cg02758674,cg23470939,cg21211053
,cg02041944,cg11015505,cg26064247,cg00933538,cg03744724
,cg05797463,cg25170017,cg04876548,cg06264679,cg05951993
,cg23999932,cg06154903,cg05127221,cg00552704,cg03536881
,cg25054580,cg18518074,cg01468711,cg13102294,cg27530316
,cg12630714,cg16434190,cg03488456,cg12585943,cg25270788
,cg27543103,cg11321083,cg00572323,cg18049167,cg19512736
,cg11332163,cg04038246,cg03997039,cg17329164,cg24330775
,cg27577928,cg07019638,cg04315923,cg05133205,cg06369349
,cg14016057,cg14378925,cg09040005,cg14130039,cg06486460
,cg02124022,cg10495164,cg07856138,cg12738718,cg23648015
,cg00036788,cg14317884,cg26751195,cg11386011,cg17950023
,cg18022883,cg23851932,cg09946623,cg03570994,cg12566415
,cg03669782,cg01151584,cg02914427,cg00110832,cg20610492
,cg02381898,cg17344040,cg11432797,cg20328456,cg20636794
,cg05050944,cg23881697,cg03549705,cg01111041,cg20173259
,cg09632907,cg05150973,cg16644366,cg16481280,cg20110591
,cg26656258,cg27273054,cg08480068,cg10551329,cg15504677
,cg17071045,cg15678817,cg26769927,cg23359665,cg26263773
,cg17669581,cg09374353,cg26691434,cg02956248,cg17434634
,cg19888869,cg15202848,cg10126903,cg06108383,cg02337695
,cg04275490,cg16572600,cg23083984,cg17113856,cg16693612
,cg11576176,cg01170276,cg02030929,cg13934406,cg03564727
,cg05196820,cg05485853,cg01681367,cg06025456,cg07992308
,cg06500120,cg08028295,cg16754364,cg25426302,cg27435138
,cg18072802,cg21721065,cg06177555,cg12626589,cg26450866
,cg25458630,cg05474055,cg25023941,cg12883279,cg01501819
,cg06085011,cg04258272,cg02640604,cg08045906,cg06713632
,cg21905630,cg02933228,cg06453916,cg18235088,cg11637076
,cg13506653,cg17987027,cg15207091,cg19048176,cg05230567
,cg14686113,cg20987132,cg11625476,cg04749507,cg23253978
,cg10248878,cg24555834,cg00663068,cg17161421,cg25485913
,cg06427054,cg16278877,cg17788994,cg02429905,cg20471045
,cg25019989,cg24980551,cg11965589,cg21037008,cg27288047
,cg12881854,cg15323937,cg03609292,cg00403498,cg01377911
,cg15976883,cg14267099,cg22110517,cg20914572,cg13977597
,cg18099189,cg01208537,cg12608565,cg12602633,cg07470708
,cg13117164,cg10577273,cg05529816,cg13035743,cg20756894
,cg20233073,cg02225305,cg14275842,cg12387154,cg16599136
,cg26926138,cg22147163,cg07834574,cg17218813,cg01507128
,cg12319534,cg06250751,cg14482741,cg20266593,cg16529563
,cg18500988,cg05109931,cg20814095,cg27068095,cg08326109
,cg13625875,cg23645046,cg21071097,cg16040614,cg14602640
,cg05044401,cg14732852,cg22795610,cg00254681,cg27340350
,cg25094411,cg23203302,cg19753476,cg13705391,cg04115602
,cg21645936,cg09343150,cg22349396,cg22268510,cg02371777
,cg05063339,cg16668394,cg06444025,cg25845985,cg11177404
,cg07493516,cg06130144,cg00744351,cg11617964,cg21456083
,cg11305677,cg23222197,cg10553748,cg22849665,cg12062282
,cg00866215,cg18064219,cg09495303,cg08123207,cg22237988
,cg20437682,cg22718071,cg24768135,cg05764839,cg25508545
,cg25539074,cg02384565,cg01739167,cg05714552,cg25754059
,cg06617834,cg04159488,cg03433048,cg15194163,cg03039974
,cg09816652,cg00976692,cg26333802,cg05985317,cg01096752
,cg02336323,cg18759725,cg05019311,cg12320039,cg12026095
,cg02821500,cg25810379,cg01835620,cg14849065,cg22310976
,cg22722822,cg19518383,cg09770475,cg14732337,cg26532042
,cg26039058,cg22897141,cg21934015,cg11515873,cg05617973
,cg05340395,cg10879244,cg22217463,cg18501647,cg04537014
,cg19760132,cg19904522,cg11340260,cg07444414,cg02664162
,cg12463110,cg11500390,cg04432599,cg08424749,cg22027879
,cg24235882,cg10821722,cg07892449,cg05767720,cg06745001
,cg01232748,cg16539346,cg05006892,cg17955729,cg22674064
,cg07190752,cg04363513,cg25526759,cg22897615,cg22740866
,cg18545433,cg19109909,cg03451731,cg24125828,cg07664760
,cg09366397,cg18013356,cg04970434,cg04630292,cg14449918
,cg05143398,cg25934954,cg13557167,cg11945824,cg03731896
,cg03478739,cg09339876,cg15831708,cg14531663,cg22645062
,cg09605298,cg13177921,cg14100578,cg21035875,cg14640682
,cg03713585,cg06378491,cg15254632,cg17626960,cg24457886
,cg26585590,cg14651616,cg19288723,cg02925367,cg21211053
,cg07154063,cg04523868,cg24205792,cg19192280,cg03744724
,cg01454638,cg18212762,cg14624505,cg13782301,cg05951993
,cg19705386,cg25546409,cg03469608,cg14757228,cg03536881
,cg14148878,cg03419136,cg01035812,cg27067781,cg27530316
,cg08579540,cg07437286,cg14360897,cg21570988,cg25270788
,cg20510384,cg13990672,cg27658640,cg14644001,cg19512736
,cg00211489,cg04038246,cg04958703,cg08376141,cg24330775
,cg18582520,cg07019638,cg06130354,cg17272563,cg06369349
,cg13940929,cg14378925,cg12505390,cg25955180,cg06486460
,cg20602300,cg10495164,cg07465344,cg07241479,cg23648015
,cg17140476,cg14317884,cg06308537,cg26849331,cg17950023
,cg17146877,cg23851932,cg19752117,cg23061027,cg12566415
,cg18108262,cg01151584,cg13491759,cg08505243,cg20610492
,cg25985323,cg17344040,cg16889556,cg03812323,cg20636794
,cg00845593,cg23881697,cg01926595,cg09782912,cg20173259
,cg26097504,cg05150973,cg00581295,cg18419271,cg20110591
,cg05334239,cg27273054,cg10240449,cg07885132,cg15504677
,cg06958102,cg15678817,cg22114827,cg18478100,cg26263773
,cg20058542,cg09374353,cg06554928,cg02287105,cg17434634
,cg17356999,cg15202848,cg01505700,cg22755579,cg12103897
,cg15454857,cg16572600,cg17820591,cg14270302,cg21587372
,cg12307764,cg01170276,cg07333510,cg23482259,cg03012230
,cg18013830,cg05485853,cg27207493,cg18572200,cg05484920
,cg00066468,cg08028295,cg18323018,cg25004838,cg01999229
,cg00580860,cg21721065,cg05856230,cg14622996,cg16737773
,cg15825536,cg05474055,cg08111106,cg07790778,cg15817967
,cg22106051,cg04258272,cg12100506,cg03514937,cg12236003
,cg09257101,cg02933228,cg08001603,cg18879780,cg15623409
,cg13372712,cg17987027,cg19425528,cg13077175,cg08820821
,cg00091781,cg20987132,cg27657473,cg05069385,cg00810316
,cg00437399,cg24555834,cg21557914,cg17319136,cg02337695
,cg03355190,cg16278877,cg02624574,cg10650915,cg16693612
,cg03605064,cg24980551,cg20941843,cg09357822,cg03564727
,cg17355835,cg15323937,cg21952723,cg24746997,cg07992308
,cg00235645,cg14267099,cg09578319,cg19509155,cg27435138
,cg09861958,cg01208537,cg03128860,cg25250621,cg26450866
,cg26431595,cg10577273,cg15100135,cg02756608,cg01501819
,cg20314325,cg02225305,cg14928057,cg20822606,cg06713632
,cg27659014,cg22147163,cg25349574,cg01233872,cg11637076
,cg16228087,cg06250751,cg00715241,cg06325842,cg05230567
,cg27279253,cg05109931,cg05085101,cg00587466,cg23253978
,cg18052123,cg23645046,cg09332309,cg26884886,cg25485913
,cg24405636,cg14732852,cg04112624,cg18749555,cg20471045
,cg26917194,cg23203302,cg16534505,cg06033773,cg27288047
,cg00842534,cg09343150,cg25384247,cg23560790,cg01377911
,cg04722977,cg16668394,cg01811315,cg14751180,cg13977597
,cg22806372,cg06130144,cg07811750,cg18080528,cg07470708
,cg10671950,cg23222197,cg19427746,cg07305776,cg20756894
,cg18834990,cg18064219,cg18993757,cg12273368,cg16599136
,cg05292799,cg22718071,cg08101329,cg26037142,cg01507128
,cg13438673,cg02384565,cg17906332,cg26539631,cg16529563
,cg23353861,cg04159488,cg12815142,cg26788180,cg08326109
,cg21293124,cg00976692,cg16045459,cg17794358,cg14602640
,cg19234935,cg18759725,cg03443944,cg09149894,cg27340350
,cg09796576,cg25810379,cg21667817,cg14155035,cg04115602
,cg17860747,cg19518383,cg01877879,cg11580844,cg02371777
,cg24009439,cg22897141,cg13818368,cg12942597,cg11177404
,cg09605212,cg10879244,cg26968203,cg06267728,cg21456083
,cg23324123,cg19904522,cg05465498,cg10947457,cg12062282
,cg14118475,cg11500390,cg07028284,cg24004685,cg22027879
,cg08152445,cg10821722,cg27373627,cg04941987,cg06745001
,cg22473613,cg16539346,cg00021128,cg02390267,cg22674064
,cg05375999,cg04363513,cg22265110,cg04322718,cg22740866
,cg08290287,cg19109909,cg02111792,cg14762784,cg07664760
,cg07527906,cg18013356,cg24838043,cg26467536,cg14449918
,cg06354327,cg25934954,cg22626663,cg02210149,cg03731896
,cg04338428,cg09339876,cg09580393,cg21548749,cg22645062
,cg04266179,cg13177921,cg07095894,cg15690316,cg14640682
,cg04627240,cg06378491,cg15810508,cg02713232,cg24457886
,cg26837270,cg14651616,cg04451652,cg20856510,cg21211053
,cg10140087,cg04523868,cg13123851,cg09439238,cg03744724
,cg26889654,cg18212762,cg05599930,cg03479797,cg05951993
,cg23861930,cg25546409,cg13272258,cg00366186,cg03536881
,cg04497885,cg03419136,cg04491635,cg21272454,cg27530316
,cg18333807,cg07437286,cg01451205,cg05924253,cg25270788
,cg17959324,cg13990672,cg27234090,cg26349166,cg19512736
,cg23843629,cg14988347,cg25821437,cg12213602,cg24330775
,cg02660564,cg20347986,cg15648239,cg03298413,cg06369349
,cg10727654,cg11295902,cg02618319,cg03803191,cg06486460
,cg19701101,cg11445760,cg24016626,cg03962114,cg23648015
,cg04600297,cg20979732,cg24258886,cg27384587,cg17950023
,cg14284824,cg09503975,cg03883256,cg08412941,cg12566415
,cg25591336,cg14538048,cg16356224,cg07617339,cg20610492
,cg05016224,cg03056341,cg18262852,cg18313478,cg20636794
,cg26860257,cg23244455,cg20822818,cg16289229,cg20173259
,cg00127732,cg03986574,cg08070028,cg14581491,cg20110591
,cg12219828,cg06832820,cg03263549,cg19088555,cg15504677
,cg08678898,cg04619046,cg25422351,cg26476217,cg26263773
,cg05217755,cg05464016,cg09048129,cg15018359,cg17434634
,cg07715328,cg18479798,cg12716639,cg15343200,cg12103897
,cg14576286,cg22885062,cg12714007,cg22986222,cg21587372
,cg12209965,cg00531009,cg26077811,cg27629145,cg03012230
,cg16551326,cg26527105,cg19246197,cg23663129,cg05484920
,cg19526353,cg02800396,cg21876869,cg10007927,cg01999229
,cg19779005,cg05061107,cg15224139,cg08732684,cg16737773
,cg12207881,cg03445006,cg24843717,cg24990564,cg15817967
,cg22317668,cg01911077,cg03498620,cg25392500,cg12236003
,cg09610133,cg17284162,cg04818594,cg09845996,cg15623409
,cg02983885,cg03943509,cg05045027,cg08386009,cg08820821
,cg17933224,cg10296062,cg12957814,cg00232996,cg00810316
,cg16853953,cg25123866,cg04229928,cg22538475,cg02337695
,cg11665652,cg11887214,cg15735446,cg04136321,cg16693612
,cg20248442,cg26884581,cg16201780,cg14426672,cg03564727
,cg00645431,cg02176069,cg15166492,cg09715059,cg07992308
,cg04374043,cg09958483,cg22978378,cg17990771,cg27435138
,cg27336300,cg11593247,cg13248115,cg11720950,cg26450866
,cg19577671,cg04815835,cg15449664,cg14914046,cg01501819
,cg24093236,cg24235466,cg00156427,cg22370379,cg06713632
,cg08763577,cg08926035,cg13524082,cg01738650,cg11637076
,cg18638867,cg02167717,cg16566400,cg08376583,cg05230567
,cg13008315,cg03663788,cg17236709,cg20116128,cg23253978
,cg26163284,cg14170423,cg10601287,cg20808711,cg25485913
,cg06742891,cg02959637,cg12508624,cg18723553,cg20471045
,cg02395441,cg11334214,cg02955631,cg14044426,cg27288047
,cg11791136,cg05479196,cg02455397,cg02448597,cg01377911
,cg19744952,cg23057706,cg04976484,cg00569673,cg13977597
,cg11919479,cg25836271,cg20884984,cg23859630,cg07470708
,cg22019679,cg06409432,cg05916744,cg00442389,cg20756894
,cg19458893,cg08378782,cg02632800,cg19321684,cg16599136
,cg20086888,cg18492647,cg24421870,cg06194738,cg01507128
,cg23959119,cg26584528,cg10055265,cg19555708,cg16529563
,cg04681368,cg05375230,cg25491905,cg21386484,cg08326109
,cg10632000,cg00156756,cg04451652,cg16609995,cg14602640
,cg00524108,cg03860020,cg13123851,cg03280235,cg27340350
,cg22220467,cg16592434,cg05599930,cg17851795,cg04115602
,cg14631037,cg01753544,cg13272258,cg06431527,cg02371777
,cg02097636,cg15787807,cg04491635,cg14823076,cg11177404
,cg14686817,cg06464781,cg01451205,cg12332917,cg21456083
,cg04739228,cg11591525,cg27234090,cg08183114,cg12062282
,cg22514863,cg06606296,cg25821437,cg16768868,cg22645062
,cg18760752,cg12603173,cg15648239,cg26289450,cg14640682
,cg08529186,cg03529408,cg02618319,cg09784502,cg24457886
,cg26781437,cg26974222,cg24016626,cg22662036,cg21211053
,cg27096253,cg08357230,cg24258886,cg09028157,cg03744724
,cg20715295,cg10701232,cg03883256,cg17023707,cg05951993
,cg08400147,cg23893897,cg16356224,cg13910855,cg03536881
,cg13915576,cg07463167,cg18262852,cg13964363,cg27530316
,cg14242928,cg09207296,cg20822818,cg11103845,cg25270788
,cg01127878,cg23561766,cg08070028,cg01246676,cg19512736
,cg08835342,cg00531307,cg03263549,cg25978487,cg24330775
,cg19302410,cg02042393,cg25422351,cg03426888,cg06369349
,cg17778313,cg18440188,cg09048129,cg02681370,cg06486460
,cg06746450,cg05224827,cg12716639,cg08293075,cg23648015
,cg16527552,cg23305229,cg12714007,cg05525649,cg17950023
,cg02456292,cg10547927,cg26077811,cg04363228,cg12566415
,cg22201153,cg10091299,cg19246197,cg00869530,cg20610492
,cg07172597,cg26434988,cg02854536,cg20765522,cg20636794
,cg23872082,cg21062897,cg08533336,cg03422527,cg20173259
,cg13834567,cg26322913,cg25538627,cg18809947,cg20110591
,cg12212706,cg17356181,cg14359435,cg14635654,cg15504677
,cg08207466,cg18414618,cg10904972,cg20720326,cg26263773
,cg09405517,cg18259504,cg27092752,cg17874413,cg17434634
,cg21992282,cg13097993,cg10353108,cg05914981,cg12103897
,cg10265365,cg18368807,cg08294986,cg15226029,cg21587372
,cg11957331,cg01919895,cg19186105,cg20905680,cg03012230
,cg08371772,cg10758227,cg19560971,cg26626042,cg05484920
,cg26548653,cg21509551,cg10904867,cg18139800,cg01999229
,cg01775098,cg21107197,cg16996281,cg08328160,cg16737773
,cg00712136,cg16489586,cg07003643,cg10677959,cg15817967
,cg03587033,cg19990483,cg09186818,cg10996463,cg12236003
,cg21896938,cg14098780,cg12870830,cg26653489,cg15623409
,cg10381076,cg05279738,cg07631801,cg26505596,cg08820821
,cg18328871,cg21890222,cg06019530,cg11105830,cg00810316
,cg24449014,cg01996343,cg21504757,cg23177883,cg02337695
,cg10054313,cg11626153,cg18836745,cg08321684,cg16693612
,cg13777150,cg25360855,cg20483374,cg04933135,cg03564727
,cg22448273,cg10958402,cg26090652,cg27580693,cg07992308
,cg00330170,cg16531660,cg00519553,cg26492916,cg27435138
,cg25429204,cg22228296,cg02771202,cg26516499,cg26450866
,cg18553657,cg12048552,cg19002131,cg05436760,cg01501819
,cg15862544,cg20232060,cg12262070,cg01285072,cg06713632
,cg03240745,cg17250812,cg08667275,cg23027854,cg11637076
,cg26434370,cg08938462,cg17112182,cg24195524,cg05230567
,cg03959937,cg25979053,cg25303540,cg09615020,cg23253978
,cg21839338,cg16143325,cg10598871,cg26981651,cg25485913
,cg03309770,cg21834048,cg13084909,cg13126575,cg20471045
,cg26952618,cg22949286,cg06909117,cg18265845,cg27288047
,cg09175009,cg04016621,cg08931196,cg19007101,cg01377911
,cg09684846,cg19275745,cg09777344,cg10023837,cg13977597
,cg27584980,cg10990660,cg11777890,cg02973270,cg07470708
,cg26636054,cg06072743,cg26866165,cg27370696,cg20756894
,cg04482884,cg16564180,cg01220469,cg07482220,cg16599136
,cg05834275,cg01584457,cg12986628,cg06570818,cg01507128
,cg09147068,cg04122390,cg09530763,cg11995506,cg16529563
,cg10466548,cg22824767,cg23641722,cg24425483,cg08326109
,cg04945379,cg14914739,cg12412427,cg09043226,cg14602640
,cg26239233,cg10952649,cg19123966,cg11043450,cg27340350
,cg08985333,cg27638148,cg14329989,cg18928683,cg04115602
,cg09015246,cg12522060,cg06285590,cg25733934,cg02371777
,cg01351032,cg03347553,cg18513970,cg23464264,cg11177404
,cg06871213,cg07768761,cg12762029,cg08049198,cg21456083
,cg01872660,cg00686926,cg27475169,cg18191873,cg12062282
,cg21198531,cg04472725,cg21096399,cg15982308,cg22645062
,cg09959112,cg18768784,cg04470256,cg01466825,cg14640682
,cg04999945,cg06822689,cg06273010,cg14771938,cg24457886
,cg02525597,cg12668399,cg26864130,cg13763617,cg21211053
,cg05371498,cg22639293,cg17622922,cg02260340,cg03744724
,cg09336671,cg25640519,cg11287851,cg09301199,cg05951993
,cg27315425,cg18963239,cg03545206,cg08450897,cg03536881
,cg01533689,cg01703329,cg03365354,cg03718284,cg27530316
,cg07503593,cg21809093,cg04890495,cg24534346,cg25270788
,cg06585907,cg17189020,cg18165196,cg22673001,cg19512736
,cg18285492,cg19849151,cg25484790,cg01074928,cg24330775
,cg09293534,cg05158913,cg09042577,cg03237964,cg06369349
,cg07371747,cg13561792,cg18890215,cg01052103,cg06486460
,cg01105356,cg25738176,cg24827784,cg15124201,cg23648015
,cg00937335,cg10095954,cg14976391,cg26340737,cg17950023
,cg04206724,cg20473595,cg17466841,cg01719529,cg12566415
,cg05249026,cg25599198,cg08187057,cg17188367,cg20610492
,cg09622420,cg09013975,cg16971827,cg02525705,cg20636794
,cg08012303,cg21546610,cg23965590,cg18894276,cg20173259
,cg04885941,cg20692730,cg24223075,cg20980321,cg20110591
,cg23970785,cg27551007,cg27228136,cg17483959,cg15504677
,cg06854197,cg13498284,cg04682967,cg16193587,cg26263773
,cg08815745,cg11608582,cg03389133,cg16689962,cg17434634
,cg00964751,cg12868320,cg09056327,cg24828988,cg19281603
,cg24211157,cg18201630,cg14297029,cg03211473,cg11455291
,cg16535018,cg21559223,cg12980353,cg22261911,cg01865484
,cg23793397,cg09591406,cg11069317,cg22767321,cg14792008
,cg26776226,cg06463185,cg07002295,cg03573455,cg12103897
,cg12169512,cg23728735,cg17965622,cg16119812,cg21587372
,cg26585845,cg08823767,cg00775172,cg26185009,cg03012230
,cg07059148,cg22519265,cg21407451,cg24433302,cg05484920
,cg00349723,cg08498987,cg12817959,cg14739153,cg01999229
,cg04504578,cg26939365,cg27516506,cg09314258,cg16737773
,cg23911396,cg19821988,cg18285844,cg01589595,cg15817967
,cg23408670,cg10183965,cg02148421,cg05921820,cg12236003
,cg00743717,cg07543400,cg15377988,cg09597192,cg15623409
,cg00739155,cg22437987,cg01191154,cg02880898,cg08820821
,cg04544699,cg07005444,cg26538224,cg13071068,cg00810316
,cg26880216,cg26697117,cg05209515,cg26694990,cg02337695
,cg14330713,cg24886563,cg26999345,cg24671153,cg16693612
,cg01413405,cg03368358,cg26143719,cg04528352,cg03564727
,cg01069466,cg17071855,cg20979921,cg19730924,cg07992308
,cg07478265,cg16611352,cg07573342,cg17213381,cg27435138
,cg00752016,cg01526089,cg14264901,cg08542429,cg26450866
,cg03721976,cg25031824,cg19530178,cg10744196,cg01501819
,cg12113561,cg22044342,cg23671006,cg24594692,cg06713632
,cg12260343,cg12709970,cg08710911,cg14054649,cg11637076
,cg21101143,cg00161225,cg03171478,cg21297192,cg05230567
,cg08706105,cg21336373,cg04995291,cg18698459,cg23253978
,cg17811167,cg14587065,cg21307484,cg03516548,cg25485913
,cg02045285,cg18394557,cg02238178,cg12255062,cg20471045
,cg01749778,cg06475633,cg25246692,cg17284149,cg27288047
,cg04489856,cg22506042,cg26757673,cg01949684,cg01377911
,cg01485645,cg23668631,cg22327543,cg03234775,cg13977597
,cg17337668,cg04935041,cg24509815,cg16467507,cg07470708
,cg26204477,cg27286572,cg26679348,cg06686436,cg20756894
,cg18058895,cg01359895,cg25786785,cg08590186,cg16599136
,cg00710196,cg01734095,cg16971128,cg12719006,cg01507128
,cg20450617,cg03439237,cg05754122,cg13201995,cg16529563
,cg04911739,cg09143221,cg17745234,cg14750743,cg08326109
,cg06684503,cg22496986,cg21271753,cg05766136,cg14602640
,cg22213752,cg13379195,cg19979738,cg23228481,cg27340350
,cg03069943,cg19713980,cg18617091,cg23588029,cg04115602
,cg25288807,cg03179291,cg15271026,cg02090341,cg02371777
,cg18984002,cg20871826,cg00619188,cg25280041,cg11177404
,cg06152070,cg03476722,cg17956747,cg11773537,cg21456083
,cg06549479,cg20777461,cg13393721,cg04770218,cg12062282
,cg27492942,cg21246243,cg08706567,cg01488260,cg22645062
,cg02812793,cg21918848,cg11839415,cg00529757,cg14640682
,cg05555681,cg11979779,cg18856478,cg26785234,cg24457886
,cg18973632,cg06478195,cg07865091,cg11356887,cg21211053
,cg07095330,cg21323494,cg07977713,cg12827283,cg03744724
,cg23901967,cg01776391,cg01143426,cg08759957,cg05951993
,cg27466042,cg01445793,cg18936620,cg12305588,cg03536881
,cg24110839,cg03463799,cg19337279,cg06024540,cg27530316
